"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
1,"Carp",1013,52,"2016-03-19 00:00:00","1899-12-30 09:10:00",,"Worms",1
2,"Carp",150,54,"2016-03-19 00:00:00","1899-12-30 09:50:00",,"Chicken Chip",4
3,"Carp",180,55,"2016-03-19 00:00:00","1899-12-30 11:15:00",,"Worms",5
5,"Carp",144,60,"2016-03-19 00:00:00","1899-12-30 12:39:00",,"Cheese",4
6,"Carp",28,63,"2016-03-19 00:00:00","1899-12-30 17:50:00",,"Cheese",
7,"Carp",93,60,"2016-03-19 00:00:00","1899-12-30 08:43:00",,"Shrimp",10
8,"Yellowbelly",185,32,"2016-03-19 00:00:00",,,,10.5
9,"Murray Cod",52,55,"2016-03-19 00:00:00","1899-12-30 09:49:00",,"Cheese",12
10,"Carp",70,44,"2016-03-19 00:00:00","1899-12-30 08:40:00",,"Worms",
12,"Carp",83,74,"2016-03-19 00:00:00","1899-12-30 09:45:00",,"Cheese",2
14,"Carp",83,51,"2016-03-19 00:00:00","1899-12-30 11:45:00",,"Cheese",3
15,"Murray Cod",281,64,"2016-03-19 00:00:00","1899-12-30 13:20:00",,"Cheese",2
16,"Yellowbelly",241,41,"2016-03-19 00:00:00","1899-12-30 14:10:00",,"Yabby",2
17,"Yellowbelly",267,42,"2016-03-19 00:00:00","1899-12-30 14:35:00",,"Worms",2
18,"Yellowbelly",268,42,"2016-03-19 00:00:00","1899-12-30 15:58:00",,"Worms",2
19,"Murray Cod",118,61.5,"2016-03-19 00:00:00","1899-12-30 17:25:00",,"Yabby",1
20,"Murray Cod",69,62.5,"2016-03-19 00:00:00","1899-12-30 17:25:00",,"Cheese",1
21,"Murray Cod",130,66,"2016-03-19 00:00:00","1899-12-30 08:30:00",,"Lure",3
22,"Yellowbelly",100,37.5,"2016-03-19 00:00:00","1899-12-30 09:06:00",,"Cheese",9
23,"Yellowbelly",12,39,"2016-03-19 00:00:00","1899-12-30 10:00:00",,"Worms",8
24,"Murray Cod",25,56,"2016-03-19 00:00:00","1899-12-30 11:45:00",,"Cheese",7
25,"Yellowbelly",211,45.5,"2016-03-19 00:00:00","1899-12-30 16:46:00",,"Lure",8
26,"Murray Cod",157,60,"2016-03-19 00:00:00","1899-12-30 14:26:00",,"Cheese",5
27,"Murray Cod",275,55,"2016-03-19 00:00:00","1899-12-30 10:19:00",,"Cheese",9
28,"Yellowbelly",207,38.5,"2016-03-19 00:00:00","1899-12-30 11:52:00",,"Worms/Shrimp",11
29,"Carp",269,55,"2016-03-19 00:00:00","1899-12-30 12:47:00",,"Cheese",6
30,"Carp",107,48,"2016-03-19 00:00:00","1899-12-30 13:05:00",,"Shrimp",10
31,"Yellowbelly",93,40,"2016-03-20 00:00:00","1899-12-30 09:18:00",,"Shrimp",12
32,"Murray Cod",185,72.5,"2016-03-20 00:00:00","1899-12-30 09:13:00",,"Cheese",2
33,"Carp",214,83,"2016-03-20 00:00:00","1899-12-30 09:53:00",,"Grub",3
