"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
1,"Murray Cod",210,57,"2019-03-16 00:00:00","1899-12-30 08:30:00",,"Cheese",11
2,"Yellowbelly",197,46,"2019-03-16 00:00:00","1899-12-30 09:20:00",,"Worms/Shrimp",12
3,"Murray Cod",87,61,"2019-03-16 00:00:00","1899-12-30 09:30:00",,"Yabby",10
4,"Murray Cod",62,55,"2019-03-16 00:00:00","1899-12-30 10:20:00",,"Grub",10
5,"Murray Cod",1017,61,"2019-03-16 00:00:00","1899-12-30 11:15:00",,"Cheese",12
6,"Murray Cod",1034,66,"2019-03-16 00:00:00","1899-12-30 11:24:00",,"Chicken",11
7,"Murray Cod",1017,90,"2019-03-16 00:00:00","1899-12-30 11:36:00",,"Cheese",11
8,"Murray Cod",1015,57,"2019-03-16 00:00:00",,,"Lure",11
9,"Yellowbelly",186,30.5,"2019-03-16 00:00:00","1899-12-30 11:20:00",,"Worms/Shrimp",2.5
10,"Murray Cod",183,55,"2019-03-16 00:00:00","1899-12-30 12:52:00",,"Cheese",4
11,"Yellowbelly",187,33,"2019-03-16 00:00:00","1899-12-30 13:10:00",,"Worms",2
12,"Yellowbelly",89,32,"2019-03-16 00:00:00","1899-12-30 13:45:00",,"Worms/Shrimp",4
13,"Carp",176,72,"2019-03-16 00:00:00","1899-12-30 14:40:00",,"Chicken Chips",6
14,"Murray Cod",163,55,"2019-03-16 00:00:00","1899-12-30 08:19:00",,,2.5
15,"Murray Cod",182,57,"2019-03-16 00:00:00","1899-12-30 16:24:00",,"Cheese/Kabana",4
16,"Murray Cod",222,78,"2019-03-16 00:00:00","1899-12-30 08:57:00",,"Yabby",1
17,"Murray Cod",112,65.5,"2019-03-16 00:00:00","1899-12-30 17:40:00",,"Cheese",4
18,"Murray Cod",22,82,"2019-03-16 00:00:00","1899-12-30 09:45:00",,"Cheese",8
19,"Carp",262,67,"2019-03-16 00:00:00","1899-12-30 08:28:00",,"Cheese",8.5
20,"Murray Cod",138,57,"2019-03-16 00:00:00","1899-12-30 08:37:00",,"Lure",6.5
21,"Yellowbelly",240,49,"2019-03-16 00:00:00","1899-12-30 10:33:00",,"Yabby",8.5
22,"Murray Cod",24,58.5,"2019-03-16 00:00:00","1899-12-30 11:55:00",,"Lure",8
23,"Murray Cod",264,55,"2019-03-16 00:00:00","1899-12-30 12:27:00",,"Cheese/Chicken",7
24,"Yellowbelly",95,41.5,"2019-03-16 00:00:00","1899-12-30 15:00:00",,"Worms",9
25,"Murray Cod",1018,55,"2019-03-17 00:00:00","1899-12-30 08:16:00",,"Cheese",11.5
26,"Murray Cod",124,60,"2019-03-17 00:00:00","1899-12-30 08:40:00",,"Grub",9
27,"Murray Cod",1017,57,"2019-03-17 00:00:00","1899-12-30 09:36:00",,"Cheese",11.5
28,"Yellowbelly",138,45,"2019-03-17 00:00:00","1899-12-30 10:28:00",,"Yabby",11
