"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
86,"Murray Cod",212,70.5,"2013-03-17 00:00:00","1899-12-30 09:50:00","Peter McDonald","Lure","5km"
87,"Yellowbelly",5,32,"2013-03-17 00:00:00","1899-12-30 08:30:00","Daniel Nethicoate","Shrimp","7km"
88,"Murray Cod",215,64,"2013-03-17 00:00:00","1899-12-30 08:35:00","Daniel Nethicoate","Shrimp","7km"
89,"Murray Cod",252,65,"2013-03-17 00:00:00","1899-12-30 10:25:00","Daniel Nethicoate","Lure","9km"
90,"Yellowbelly",225,40,"2013-03-17 00:00:00","1899-12-30 11:00:00","Daniel Nethicoate","Shrimp","6km"
91,"Murray Cod",191,60,"2013-03-17 00:00:00","1899-12-30 10:00:00","Daniel Nethicoate","Lure","6km"
92,"Murray Cod",104,72.5,"2013-03-17 00:00:00","1899-12-30 08:15:00","Daniel Nethicoate","Lure","6km"
93,"Yellowbelly",220,35,"2013-03-17 00:00:00","1899-12-30 09:00:00","Charlie Gillingham","Grub","10.5km"
94,"Yellowbelly",108,31,"2013-03-17 00:00:00","1899-12-30 09:30:00","Charlie Gillingham","Shrimp","11km"
95,"Yellowbelly",170,39,"2013-03-17 00:00:00","1899-12-30 09:31:00","Charlie Gillingham","Shrimp","11km"
96,"Yellowbelly",115,31.5,"2013-03-17 00:00:00","1899-12-30 09:20:00","Charlie Gillingham","Worms","10km"
97,"Murray Cod",248,60,"2013-03-17 00:00:00","1899-12-30 10:16:00","Charlie Gillingham","Grub","9km"
98,"Yellowbelly",165,32,"2013-03-17 00:00:00","1899-12-30 10:45:00","Charlie Gillingham","Worms","10km"
99,"Yellowbelly",26,44,"2013-03-17 00:00:00","1899-12-30 09:45:00","Brent McKnight","Shrimp","9km"
1,"Murray Cod",230,61,"2013-03-16 00:00:00","1899-12-30 09:03:00","Nathan Henry","Cheese","1km"
2,"Yellowbelly",274,40,"2013-03-16 00:00:00","1899-12-30 09:35:00","Nick Hein","Yabby","4km"
3,"Murray Cod",63,65,"2013-03-16 00:00:00","1899-12-30 09:57:00","Nick Hein","Cheese","3km"
4,"Murray Cod",63,60,"2013-03-16 00:00:00","1899-12-30 10:50:00","Nick Hein","Grub","3km"
5,"Murray Cod",161,66,"2013-03-16 00:00:00","1899-12-30 11:15:00","Nick Hein","Lure","2km"
6,"Carp",38,60,"2013-03-16 00:00:00","1899-12-30 12:23:00",,"Grub","2km"
7,"Carp",65,60,"2013-03-16 00:00:00","1899-12-30 13:45:00",,"Cheese","3km"
8,"Yellowbelly",274,33.5,"2013-03-16 00:00:00","1899-12-30 14:05:00",,"Shrimp","2km"
9,"Carp",274,58,"2013-03-16 00:00:00","1899-12-30 14:05:00",,"Shrimp","2km"
10,"Yellowbelly",100,38,"2013-03-16 00:00:00","1899-12-30 16:58:00","Nathan Henry","Worms","4km"
11,"Yellowbelly",165,33,"2013-03-16 00:00:00","1899-12-30 08:22:00","Nathan Henry","Worms","8km"
12,"Yellowbelly",164,30,"2013-03-16 00:00:00","1899-12-30 08:20:00","Nathan Henry","Worms","8km"
13,"Yellowbelly",43,30.5,"2013-03-16 00:00:00","1899-12-30 09:19:00","Nathan Henry","Unknown","8km"
14,"Murray Cod",89,60,"2013-03-16 00:00:00","1899-12-30 09:34:00","Nathan Henry","Cheese","8km"
15,"Yellowbelly",125,32,"2013-03-16 00:00:00","1899-12-30 09:30:00","Nathan Henry","Shrimp","6km"
16,"Yellowbelly",188,31,"2013-03-16 00:00:00","1899-12-30 09:47:00","Nathan Henry","Shrimp",
17,"Carp",10,61,"2013-03-16 00:00:00","1899-12-30 10:40:00","Nathan Henry","Shrimp",
18,"Yellowbelly",42,40,"2013-03-16 00:00:00","1899-12-30 11:13:00","Nathan Henry","Shrimp",
19,"Yellowbelly",138,40.5,"2013-03-16 00:00:00","1899-12-30 12:26:00","Matthew Webb","Shrimp","7km"
20,"Yellowbelly",42,31.5,"2013-03-16 00:00:00","1899-12-30 12:36:00","Matthew Webb","Shrimp","8km"
21,"Yellowbelly",117,32.5,"2013-03-16 00:00:00","1899-12-30 12:55:00","Matthew Webb","Shrimp","6km"
22,"Yellowbelly",117,31,"2013-03-16 00:00:00","1899-12-30 12:57:00","Matthew Webb","Shrimp","6km"
23,"Carp",175,62,"2013-03-16 00:00:00","1899-12-30 15:10:00","Camerson Coulter","Worms","8km"
25,"Carp",273,43,"2013-03-16 00:00:00","1899-12-30 15:30:00","Camerson Coulter","Worms","7km"
26,"Carp",172,73.5,"2013-03-16 00:00:00","1899-12-30 16:15:00","Camerson Coulter","Shrimp","7km"
