"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
61,"Murray Cod",89,55,"2018-03-17 00:00:00","1899-12-30 08:50:00",,"Grub",11
62,"Murray Cod",1005,57,"2018-03-17 00:00:00","1899-12-30 11:20:00",,"Shrimp",10
63,"Murray Cod",280,57,"2018-03-17 00:00:00","1899-12-30 11:30:00",,"Shrimp",12
64,"Yellowbelly",204,31.5,"2018-03-17 00:00:00","1899-12-30 03:30:00",,"Shrimp",5
65,"Carp",238,73,"2018-03-17 00:00:00","1899-12-30 10:04:00",,"Dim Sim",2
66,"Murray Cod",206,55.5,"2018-03-17 00:00:00","1899-12-30 11:05:00",,"Cheese",3
67,"Murray Cod",175,58,"2018-03-17 00:00:00","1899-12-30 15:10:00",,"Lure",6
68,"Yellowbelly",117,48.5,"2018-03-17 00:00:00","1899-12-30 15:30:00",,"Shrimp",5
69,"Yellowbelly",84,44.5,"2018-03-17 00:00:00","1899-12-30 15:50:00",,"Worms/Shrimp",6
70,"Murray Cod",125,55,"2018-03-17 00:00:00","1899-12-30 16:15:00",,"Lure",4
71,"Murray Cod",248,64.5,"2018-03-17 00:00:00","1899-12-30 17:00:00",,"Cheese",5
72,"Murray Cod",1024,60.5,"2018-03-17 00:00:00","1899-12-30 17:55:00",,"Cheese",5
73,"Murray Cod",194,59,"2018-03-17 00:00:00","1899-12-30 12:40:00",,"Chicken",10
74,"Carp",56,74,"2018-03-17 00:00:00","1899-12-30 12:50:00",,"Shrimp",11
75,"Murray Cod",86,56,"2018-03-17 00:00:00","1899-12-30 15:40:00",,"Grub",10
76,"Murray Cod",159,59,"2018-03-17 00:00:00","1899-12-30 16:40:00",,"Cheese",9
77,"Yellowbelly",291,43,"2018-03-17 00:00:00","1899-12-30 16:50:00",,"Shrimp",11
78,"Yellowbelly",110,31,"2018-03-17 00:00:00","1899-12-30 16:50:00",,"Cheese",11
80,"Yellowbelly",1003,32,"2018-03-17 00:00:00","1899-12-30 17:30:00",,"Worms/Shrimp",12
81,"Carp",282,59,"2018-03-17 00:00:00","1899-12-30 08:32:00",,"Worms",5
82,"Yellowbelly",174,42,"2018-03-17 00:00:00","1899-12-30 08:40:00",,"Lure",5
83,"Carp",264,60,"2018-03-17 00:00:00","1899-12-30 08:50:00",,"Unknown",6
84,"Murray Cod",229,55,"2018-03-17 00:00:00","1899-12-30 09:20:00",,"Cheese",5
85,"Murray Cod",147,0,"2018-03-17 00:00:00",,,,
86,"Yellowbelly",173,44,"2018-03-17 00:00:00","1899-12-30 09:35:00",,"Unknown",4
87,"Yellowbelly",41,48,"2018-03-17 00:00:00","1899-12-30 09:45:00",,"Shrimp",5
88,"Yellowbelly",24,49,"2018-03-17 00:00:00",,,"Unknown",5
89,"Carp",285,57,"2018-03-17 00:00:00","1899-12-30 12:36:00",,"Yabby",2
90,"Murray Cod",132,72,"2018-03-17 00:00:00","1899-12-30 12:58:00",,"Shrimp",2
91,"Murray Cod",132,55,"2018-03-17 00:00:00","1899-12-30 14:30:00",,"CHICKEN",1
92,"Murray Cod",27,55,"2018-03-17 00:00:00","1899-12-30 08:45:00",,"Cheese",
93,"Yellowbelly",277,41,"2018-03-17 00:00:00","1899-12-30 09:05:00",,"Worms/Shrimp",6
94,"Murray Cod",18,59,"2018-03-17 00:00:00","1899-12-30 10:00:00",,"Grub",9.5
95,"Murray Cod",18,61,"2018-03-17 00:00:00","1899-12-30 10:45:00",,"Grub",9.5
96,"Murray Cod",55,59,"2018-03-17 00:00:00","1899-12-30 10:55:00",,"Grub",8.5
97,"Murray Cod",68,55,"2018-03-17 00:00:00","1899-12-30 11:30:00",,"Cheese",6.5
98,"Murray Cod",12,64,"2018-03-17 00:00:00","1899-12-30 17:19:00",,"Shrimp",6
99,"Murray Cod",271,55,"2018-03-18 00:00:00","1899-12-30 08:10:00",,"Cheese",4
100,"Murray Cod",18,66,"2018-03-18 00:00:00","1899-12-30 08:28:00",,"Grub",9
101,"Yellowbelly",1029,31,"2018-03-18 00:00:00","1899-12-30 09:38:00",,"Yabby",11
