"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
13,"Carp",219,53,"2010-03-13 00:00:00","1899-12-30 10:10:00","Rowan McKerrow","Shrimp","1"
14,"Carp",86,56.5,"2010-03-13 00:00:00","1899-12-30 11:00:00","Rowan McKerrow","Grub","2"
15,"Murray Cod",124,60.5,"2010-03-13 00:00:00","1899-12-30 11:00:00","Rowan McKerrow","Lure","1"
16,"Carp",22,56,"2010-03-13 00:00:00","1899-12-30 03:24:00","Geoff McNeil","Grub","5"
17,"Yellowbelly",81,32.5,"2010-03-13 00:00:00","1899-12-30 10:56:00","Nathan Henry","Worms","6"
18,"Yellowbelly",75,32.5,"2010-03-13 00:00:00","1899-12-30 05:30:00","Brent McKnight","Shrimp","3"
19,"Yellowbelly",55,30,"2010-03-13 00:00:00","1899-12-30 10:15:00","Daniel Nethicoate","Shrimp","9"
20,"Yellowbelly",68,39,"2010-03-13 00:00:00","1899-12-30 11:09:00","Daniel Nethicoate","Shrimp","8"
21,"Yellowbelly",178,37,"2010-03-13 00:00:00","1899-12-30 10:30:00","Daniel Nethicoate","Shrimp","7"
22,"Yellowbelly",68,40.5,"2010-03-13 00:00:00","1899-12-30 13:00:00","Brent McKnight","Shrimp","8"
23,"Carp",252,45,"2010-03-13 00:00:00","1899-12-30 17:45:00","Daniel Nethicoate","Cheese","7"
24,"Yellowbelly",176,45.5,"2010-03-13 00:00:00","1899-12-30 11:00:00","Lachy Monk","Shrimp","11"
25,"Carp",176,40,"2010-03-13 00:00:00","1899-12-30 12:00:00","Nathan McKnight","Shrimp","11"
26,"Yellowbelly",184,32,"2010-03-13 00:00:00","1899-12-30 12:15:00","Nathan Henry","Shrimp","11"
27,"Carp",176,47,"2010-03-13 00:00:00","1899-12-30 12:57:00","Matthew Webb","Shrimp","11"
28,"Carp",176,55,"2010-03-13 00:00:00","1899-12-30 14:55:00","Matthew Webb","Shrimp","11"
29,"Yellowbelly",78,37.5,"2010-03-13 00:00:00","1899-12-30 17:30:00","Cam Coulter","Shrimp","10"
31,"Carp",275,55,"2010-03-14 00:00:00","1899-12-30 10:00:00","Simon Morton","Grub","10"
32,"Yellowbelly",176,36,"2010-03-14 00:00:00","1899-12-30 10:55:00","Simon Morton","Shrimp","12"
33,"Yellowbelly",176,33,"2010-03-14 00:00:00","1899-12-30 10:55:00","Simon Morton","Shrimp","12"
34,"Carp",172,62.5,"2010-03-14 00:00:00","1899-12-30 09:25:00","Neil Hopkins","Shrimp","5"
35,"Yellowbelly",41,30.5,"2010-03-14 00:00:00","1899-12-30 09:40:00","Neil Hopkins","Shrimp","4"
