"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
1,"Murray Cod",118,57,"2022-03-19 00:00:00","1899-12-30 08:27:00",,,
2,"Yellowbelly",202,36.5,"2022-03-19 00:00:00","1899-12-30 08:53:00",,,
3,"Murray Cod",92,59.5,"2022-03-19 00:00:00","1899-12-30 12:45:00",,,
4,"Yellowbelly",1022,44,"2022-03-19 00:00:00","1899-12-30 12:43:00",,,
5,"Murray Cod",259,94,"2022-03-19 00:00:00","1899-12-30 15:23:00",,,
6,"Murray Cod",260,64,"2022-03-19 00:00:00","1899-12-30 09:21:00",,,
7,"Murray Cod",260,58.5,"2022-03-19 00:00:00","1899-12-30 08:54:00",,,
8,"Yellowbelly",76,39.5,"2022-03-19 00:00:00","1899-12-30 15:48:00",,,
9,"Murray Cod",146,89,"2022-03-19 00:00:00","1899-12-30 16:15:00",,,
10,"Murray Cod",1006,61.5,"2022-03-19 00:00:00","1899-12-30 16:23:00",,,
11,"Yellowbelly",218,41.5,"2022-03-19 00:00:00","1899-12-30 10:22:00",,,
12,"Murray Cod",222,55,"2022-03-19 00:00:00","1899-12-30 09:40:00",,,
13,"Carp",40,57,"2022-03-19 00:00:00","1899-12-30 13:30:00",,,
14,"Carp",38,59,"2022-03-19 00:00:00","1899-12-30 12:40:00",,,
15,"Carp",158,57.5,"2022-03-19 00:00:00","1899-12-30 12:17:00",,,
16,"Carp",45,56,"2022-03-19 00:00:00","1899-12-30 12:31:00",,,
17,"Carp",244,57,"2022-03-19 00:00:00","1899-12-30 14:29:00",,,
18,"Carp",218,60.5,"2022-03-19 00:00:00","1899-12-30 09:21:00",,,
19,"Carp",110,59,"2022-03-20 00:00:00","1899-12-30 08:17:00",,,
20,"Carp",217,55,"2022-03-20 00:00:00","1899-12-30 08:18:00",,,
21,"Carp",218,54,"2022-03-20 00:00:00","1899-12-30 08:36:00",,,
22,"Murray Cod",105,57.5,"2022-03-20 00:00:00","1899-12-30 08:31:00",,,
23,"Carp",274,51,"2022-03-20 00:00:00","1899-12-30 08:48:00",,,
24,"Murray Cod",116,58.5,"2022-03-20 00:00:00","1899-12-30 09:37:00",,,
25,"Murray Cod",152,67,"2022-03-20 00:00:00","1899-12-30 09:51:00",,,
26,"Murray Cod",271,60.5,"2022-03-20 00:00:00","1899-12-30 10:04:00",,,
27,"Murray Cod",269,58,"2022-03-20 00:00:00","1899-12-30 10:14:00",,,
