"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
1,"Yellowbelly",243,41,"2017-03-18 00:00:00","1899-12-30 08:02:00",,"Lure",7
2,"Carp",185,50.5,"2017-03-18 00:00:00","1899-12-30 08:50:00",,"Worms",8.5
3,"Yellowbelly",180,43,"2017-03-18 00:00:00","1899-12-30 09:54:00",,"Worms",7.5
4,"Murray Cod",9,55,"2017-03-18 00:00:00","1899-12-30 09:22:00",,,9
5,"Murray Cod",170,58,"2017-03-18 00:00:00","1899-12-30 11:15:00",,"Cheese",8
7,"Carp",59,59.5,"2017-03-18 00:00:00","1899-12-30 03:00:00",,"Shrimp",8
8,"Murray Cod",166,79,"2017-03-18 00:00:00","1899-12-30 15:30:00",,"Cheese",8
9,"Murray Cod",139,56.5,"2017-03-18 00:00:00","1899-12-30 11:25:00",,"Chicken/Garlic",7.5
10,"Yellowbelly",245,30.5,"2017-03-18 00:00:00","1899-12-30 16:10:00",,"Shrimp",9
11,"Murray Cod",166,58.5,"2017-03-18 00:00:00","1899-12-30 16:20:00",,"Cheese",8
12,"Murray Cod",91,56,"2017-03-18 00:00:00","1899-12-30 16:30:00",,"Shrimp",8
13,"Murray Cod",156,55,"2017-03-18 00:00:00","1899-12-30 17:15:00",,"Shrimp",7
14,"Carp",32,59,"2017-03-18 00:00:00","1899-12-30 08:40:00",,"Cheese",1
15,"Murray Cod",215,55,"2017-03-18 00:00:00","1899-12-30 09:10:00",,"Lure",3
16,"Murray Cod",249,55.5,"2017-03-18 00:00:00","1899-12-30 09:30:00",,"Cheese",1
17,"Carp",10,59,"2017-03-18 00:00:00","1899-12-30 10:30:00",,"Worms",2
18,"Murray Cod",100,56,"2017-03-18 00:00:00","1899-12-30 11:15:00",,"Cheese",2
19,"Murray Cod",1002,55.5,"2017-03-18 00:00:00","1899-12-30 12:00:00",,"Grub",1
21,"Murray Cod",1001,58,"2017-03-18 00:00:00","1899-12-30 09:15:00",,"Cheese",12
22,"Murray Cod",264,55,"2017-03-18 00:00:00","1899-12-30 09:25:00",,"Grub",11
23,"Carp",185,58.5,"2017-03-18 00:00:00","1899-12-30 13:20:00",,"Shrimp",11
24,"Murray Cod",134,56,"2017-03-18 00:00:00","1899-12-30 09:35:00",,"Cheese",11
25,"Yellowbelly",245,44.5,"2017-03-18 00:00:00","1899-12-30 10:00:00",,"Shrimp",12
26,"Murray Cod",137,57.5,"2017-03-18 00:00:00","1899-12-30 10:55:00",,"Chicken",10
27,"Murray Cod",297,57.5,"2017-03-18 00:00:00","1899-12-30 11:15:00",,"Cheese",12
28,"Murray Cod",228,56,"2017-03-18 00:00:00","1899-12-30 13:25:00",,"Shrimp/Cheese",11
29,"Murray Cod",85,59,"2017-03-18 00:00:00","1899-12-30 15:25:00",,"Cheese",
30,"Murray Cod",265,59,"2017-03-18 00:00:00","1899-12-30 16:00:00",,"Grub",11
31,"Murray Cod",263,57,"2017-03-18 00:00:00","1899-12-30 16:15:00",,"Grub",11
32,"Carp",205,66,"2017-03-18 00:00:00","1899-12-30 17:15:00",,"Shrimp",
33,"Murray Cod",119,56.5,"2017-03-18 00:00:00","1899-12-30 08:25:00",,"Cheese",
34,"Yellowbelly",152,50.5,"2017-03-18 00:00:00","1899-12-30 09:30:00",,"Yabby",4
35,"Murray Cod",118,56,"2017-03-18 00:00:00","1899-12-30 11:00:00",,"Cheese",5
36,"Murray Cod",274,55,"2017-03-18 00:00:00","1899-12-30 09:42:00",,,4
37,"Yellowbelly",274,31,"2017-03-18 00:00:00","1899-12-30 09:42:00",,"Yabby",4
38,"Carp",10,56,"2017-03-18 00:00:00","1899-12-30 09:50:00",,,5
39,"Murray Cod",119,55.5,"2017-03-18 00:00:00","1899-12-30 10:00:00",,"Cheese",5
40,"Murray Cod",204,58.5,"2017-03-18 00:00:00","1899-12-30 12:50:00",,"Shrimp/Cheese",4
41,"Carp",274,47,"2017-03-18 00:00:00","1899-12-30 13:20:00",,"Worms",4
42,"Murray Cod",224,55,"2017-03-18 00:00:00","1899-12-30 13:37:00",,"Hot Dog",4
43,"Murray Cod",153,56.5,"2017-03-18 00:00:00","1899-12-30 13:30:00",,"Grub",3
44,"Murray Cod",119,55,"2017-03-18 00:00:00","1899-12-30 14:20:00",,"Cheese",5
45,"Carp",180,59,"2017-03-18 00:00:00",,,,5
46,"Carp",7,58.5,"2017-03-18 00:00:00",,,"Shrimp",5
47,"Murray Cod",78,56,"2017-03-18 00:00:00","1899-12-30 15:30:00",,"Cheese",4
48,"Yellowbelly",1006,40,"2017-03-18 00:00:00",,,"Worms/Shrimp",5
49,"Yellowbelly",257,49,"2017-03-18 00:00:00","1899-12-30 16:30:00",,"Worms",5
50,"Carp",1016,40,"2017-03-18 00:00:00","1899-12-30 16:30:00",,"Worms",5
51,"Carp",204,56,"2017-03-18 00:00:00","1899-12-30 17:31:00",,"Shrimp",3
52,"Murray Cod",255,59,"2017-03-18 00:00:00","1899-12-30 12:26:00",,"Cheese/Shrimp",9
53,"Murray Cod",89,58,"2017-03-19 00:00:00","1899-12-30 08:45:00",,"Cheese",12
54,"Yellowbelly",245,48,"2017-03-19 00:00:00","1899-12-30 09:20:00",,"Shrimp",12
55,"Murray Cod",201,60,"2017-03-19 00:00:00","1899-12-30 09:35:00",,"Cheese",10
56,"Murray Cod",200,58,"2017-03-19 00:00:00","1899-12-30 09:53:00",,"Cheese",10
57,"Murray Cod",265,64,"2017-03-19 00:00:00","1899-12-30 08:30:00",,"Grub",1.5
58,"Yellowbelly",1015,40.5,"2017-03-19 00:00:00","1899-12-30 09:34:00",,,
59,"Murray Cod",207,56,"2017-03-19 00:00:00","1899-12-30 09:00:00",,,9
60,"Yellowbelly",91,41,"2017-03-19 00:00:00","1899-12-30 09:19:00",,"Shrimp",7
