"boat_id","name","registration_no"
1,"V hole punt","EY608"
2,"Cod fathers","Gk697"
3,,"Jh316"
4,,"LU 404"
5,,"MH462"
6,,"MM 432"
7,,"Mr13"
8,,"PJ 481"
9,,"TE944"
10,,"UN264"
11,"Master baiters",
12,"Meehan Boys",
13,"Milo",
14,,
15,,"DC336"
16,,"Ts473F"
17,,
18,,
19,,
20,,
21,,
22,,"PY802"
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,"SS JACK REIWOLDT",
34,,
35,,
36,,
37,,"GF 920"
38,,
39,,
40,,"UQ815"
41,,
42,,
43,,
44,,
45,"Happy Hooker","HQ480"
46,,
47,,
48,,
49,,"GW312"
50,,
51,,
52,,
53,,"Ld915"
54,,
55,,
56,,
57,"Cod God 390","NW 997"
58,"SS Titanic 2","ML428"
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,"Ken Conroy & Andrew Bower",
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,"Hookem","Hookem"
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,"RU689"
93,,
94,,
95,,
96,,
97,,
98,,
99,"Cirrhosis on the river","KK874"
100,"D Punt",
101,,
102,,
103,,
104,,"KH 390"
105,,
106,,
107,"Lupton builders",
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,"Damian Cooper, Glenn Solomano & Stephen Kelson","GF 920"
116,,
117,,
118,"Stormin Norman",
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,"GS301"
146,,
147,,
148,,
149,"3 Melbourne long necks",
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,"-","-"
164,,
165,,
166,,"Mj 30"
167,,
168,,"MW766"
169,,
170,,
171,,
172,,
173,"Stanlins",
174,,
175,,
176,,
177,,
178,"Three Melbourne longnecks",
179,,
180,,"S E 551"
181,,
182,,
183,,
184,,
185,"Status quo","Hw 568"
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,"Zc134"
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,"Jackson & Brendan Fletcher",
210,,
211,,
