"catch_id","fish_type","competitor_id","size","date","time","marshall","bait","location"
1,"Yellowbelly",205,43,"2021-03-20 00:00:00","1899-12-30 10:30:00",,"Shrimp",11
2,"Murray Cod",1026,55,"2021-03-20 00:00:00","1899-12-30 10:45:00",,"Cheese",3
3,"Murray Cod",150,80,"2021-03-20 00:00:00","1899-12-30 15:19:00",,"Chicken",4
4,"Yellowbelly",220,34.5,"2021-03-20 00:00:00","1899-12-30 09:00:00",,"Worms",4
5,"Yellowbelly",233,44,"2021-03-20 00:00:00","1899-12-30 09:15:00",,"Worms",6
6,"Murray Cod",217,56,"2021-03-20 00:00:00","1899-12-30 09:30:00",,"Cheese",8
7,"Murray Cod",36,60,"2021-03-20 00:00:00","1899-12-30 09:35:00",,"Grub",9
8,"Carp",278,70,"2021-03-20 00:00:00","1899-12-30 11:00:00",,"Cheese",6
9,"Yellowbelly",31,44,"2021-03-20 00:00:00","1899-12-30 13:00:00",,"Worms/Shrimp",7.5
10,"Carp",265,70.5,"2021-03-20 00:00:00","1899-12-30 16:00:00",,"Shrimp",7
11,"Yellowbelly",295,34,"2021-03-20 00:00:00","1899-12-30 16:30:00",,,
12,"Yellowbelly",264,37.5,"2021-03-20 00:00:00","1899-12-30 16:40:00",,"Shrimp",7
13,"Carp",222,50,"2021-03-20 00:00:00","1899-12-30 09:40:00",,"Worms",11
14,"Murray Cod",136,55,"2021-03-20 00:00:00","1899-12-30 10:30:00",,"Cheese",9
15,"Yellowbelly",159,35,"2021-03-20 00:00:00","1899-12-30 12:10:00",,"Shrimp",10
16,"Carp",215,53,"2021-03-20 00:00:00","1899-12-30 11:10:00",,"Worms",11
17,"Murray Cod",136,73,"2021-03-20 00:00:00","1899-12-30 12:20:00",,"Cheese",12
18,"Murray Cod",70,60,"2021-03-20 00:00:00","1899-12-30 14:00:00",,"Grub",10
19,"Murray Cod",259,59,"2021-03-20 00:00:00","1899-12-30 15:00:00",,"Worms/Shrimp",12
20,"Murray Cod",1001,55,"2021-03-20 00:00:00","1899-12-30 17:15:00",,"Lure",10
21,"Murray Cod",169,59,"2021-03-20 00:00:00","1899-12-30 08:48:00",,"Yabby",
22,"Murray Cod",300,60,"2021-03-20 00:00:00","1899-12-30 10:19:00",,"Chicken",3
23,"Carp",1028,62.5,"2021-03-20 00:00:00","1899-12-30 15:02:00",,"Shrimp",4
24,"Yellowbelly",62,37,"2021-03-20 00:00:00","1899-12-30 15:15:00",,"Worms",4
25,"Yellowbelly",1028,32.5,"2021-03-20 00:00:00","1899-12-30 16:00:00",,"Shrimp",4
26,"Murray Cod",136,57,"2021-03-21 00:00:00","1899-12-30 10:50:00",,"Cheese",11
27,"Murray Cod",124,63.5,"2021-03-21 00:00:00","1899-12-30 09:00:00",,"Lure",4
